vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,0,1,0,0,0,0,0,0,0,2,8.2,124,0,0,0,0,0,2,8.2,124,0,0,0,0,0,2,8.2,124,0,0,0,0,0,2,8.2,124,0,0,0,0,0,2,8.2,124,0,0,0,0,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,1,1,0.002,0,-1.05268,0.365725,1.13537,1.5909,0,2,8.2,124,-1.05268,0.365725,1.13537,1.5909,0,2,8.2,124,-1.05268,0.365725,1.13537,1.5909,0,2,8.2,124,-1.05268,0.365725,1.13537,1.5909,0,2,8.2,124,-1.05268,0.365725,1.13537,1.5909,0,2,8.2,124,-1.05268,0.365725,1.13537,1.5909,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,2,1,0.004,0,-0.504575,0.371164,0.896206,1.09341,0,2,8.2,124,-0.504575,0.371164,0.896206,1.09341,0,2,8.2,124,-0.504575,0.371164,0.896206,1.09341,0,2,8.2,124,-0.504575,0.371164,0.896206,1.09341,0,2,8.2,124,-0.504575,0.371164,0.896206,1.09341,0,2,8.2,124,-0.504575,0.371164,0.896206,1.09341,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,3,1,0.006,0,-0.158158,0.115944,0.639227,0.668631,0,2,8.2,124,-0.158158,0.115944,0.639227,0.668631,0,2,8.2,124,-0.158158,0.115944,0.639227,0.668631,0,2,8.2,124,-0.158158,0.115944,0.639227,0.668631,0,2,8.2,124,-0.158158,0.115944,0.639227,0.668631,0,2,8.2,124,-0.158158,0.115944,0.639227,0.668631,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,4,1,0.008,0,-0.158086,-0.224393,0.491926,0.563325,0,2,8.2,124,-0.158086,-0.224393,0.491926,0.563325,0,2,8.2,124,-0.158086,-0.224393,0.491926,0.563325,0,2,8.2,124,-0.158086,-0.224393,0.491926,0.563325,0,2,8.2,124,-0.158086,-0.224393,0.491926,0.563325,0,2,8.2,124,-0.158086,-0.224393,0.491926,0.563325,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,5,1,0.01,0,-0.391554,-0.473408,0.404436,0.735526,0,2,8.2,124,-0.391554,-0.473408,0.404436,0.735526,0,2,8.2,124,-0.391554,-0.473408,0.404436,0.735526,0,2,8.2,124,-0.391554,-0.473408,0.404436,0.735526,0,2,8.2,124,-0.391554,-0.473408,0.404436,0.735526,0,2,8.2,124,-0.391554,-0.473408,0.404436,0.735526,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,6,1,0.012,0,-0.645025,-0.578458,0.213588,0.892351,0,2,8.2,124,-0.645025,-0.578458,0.213588,0.892351,0,2,8.2,124,-0.645025,-0.578458,0.213588,0.892351,0,2,8.2,124,-0.645025,-0.578458,0.213588,0.892351,0,2,8.2,124,-0.645025,-0.578458,0.213588,0.892351,0,2,8.2,124,-0.645025,-0.578458,0.213588,0.892351,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,7,1,0.014,0,-0.77259,-0.586873,-0.113463,0.976826,0,2,8.2,124,-0.77259,-0.586873,-0.113463,0.976826,0,2,8.2,124,-0.77259,-0.586873,-0.113463,0.976826,0,2,8.2,124,-0.77259,-0.586873,-0.113463,0.976826,0,2,8.2,124,-0.77259,-0.586873,-0.113463,0.976826,0,2,8.2,124,-0.77259,-0.586873,-0.113463,0.976826,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,8,1,0.016,0,-0.7478,-0.572045,-0.374488,1.01325,0,2,8.2,124,-0.7478,-0.572045,-0.374488,1.01325,0,2,8.2,124,-0.7478,-0.572045,-0.374488,1.01325,0,2,8.2,124,-0.7478,-0.572045,-0.374488,1.01325,0,2,8.2,124,-0.7478,-0.572045,-0.374488,1.01325,0,2,8.2,124,-0.7478,-0.572045,-0.374488,1.01325,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,9,1,0.018,0,-0.631509,-0.597861,-0.321669,0.927206,0,2,8.2,124,-0.631509,-0.597861,-0.321669,0.927206,0,2,8.2,124,-0.631509,-0.597861,-0.321669,0.927206,0,2,8.2,124,-0.631509,-0.597861,-0.321669,0.927206,0,2,8.2,124,-0.631509,-0.597861,-0.321669,0.927206,0,2,8.2,124,-0.631509,-0.597861,-0.321669,0.927206,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,10,1,0.02,0,-0.530413,-0.700925,0.0713807,0.88189,0,2,8.2,124,-0.530413,-0.700925,0.0713807,0.88189,0,2,8.2,124,-0.530413,-0.700925,0.0713807,0.88189,0,2,8.2,124,-0.530413,-0.700925,0.0713807,0.88189,0,2,8.2,124,-0.530413,-0.700925,0.0713807,0.88189,0,2,8.2,124,-0.530413,-0.700925,0.0713807,0.88189,0,2,8.2,124,0,0,0,0,0,0,0,0,1
