,Mx,My,Mt
0.001,4.797284948085462,-0.06681476544957832,1.8121776451662797e-07
0.002,-1.5033822518887234,0.01991710748623632,-3.8055729413566386e-06
0.003,0.0881301809151476,-0.0029713887558192598,5.207680110881239e-05
0.004,0.09822567168087942,-0.002923879688083414,4.8205989776583125e-05
0.005,0.11091685920040914,-0.0029752733223371575,3.398711887396067e-05
0.006,0.1187121997064044,-0.0033873761953848724,7.276324322132719e-05
0.007,0.1182783543334367,-0.0032131160498273525,3.8917311103548596e-05
0.008,0.11133724884602234,-0.0027052117584580315,-2.612726974321293e-05
0.009,0.10376864509734181,-0.002839398166489898,-7.459533664274124e-05
0.01,0.0999810196084973,-0.0025002203734307837,-8.524400023178025e-05
0.011,0.09585239839157766,-0.003389805254305628,-9.798380802901983e-05
0.012,0.09374097249613658,-0.0035240433167017804,-9.731491515877887e-05
0.013,0.0935711090570472,-0.003633529304720551,-9.275899196686333e-05
0.014,0.0942745498289398,-0.003761839275903678,-7.829629256948844e-05
0.015,0.0955610738384925,-0.004042438339902921,-7.589964439566783e-05
0.016,0.09756565398423192,-0.0039021241077699387,-7.893673117086381e-05
0.017,0.09891000141502981,-0.003774854719047066,-4.0116074371415907e-05
0.018,0.09832161534120329,-0.0038915005857588503,-6.853115072792682e-05
0.019,0.09841829127564529,-0.0037021163236147236,-8.686829124925468e-05
0.02,0.09798884274905088,-0.0038349988308063188,-9.362416179187856e-05
0.021,0.09746608238538947,-0.003604879408184769,-0.00010608659768719013
0.022,0.0972505147858669,-0.004158879403672433,-0.00010051639869815146
0.023,0.09671890021452184,-0.004726485260043739,-8.097157410205148e-05
0.024,0.09620581702793152,-0.004498564352979587,-7.223375899818646e-05
0.025,0.09549409688721228,-0.0046380136747353334,-4.512603086614508e-05
0.026,0.09452780164189337,-0.004783458634105092,-3.183029736283883e-05
0.027,0.0937270210960496,-0.004879495867241165,-1.8712549418579364e-05
0.028,0.09279441284597256,-0.004837899471967014,-1.8841699691065847e-05
0.029,0.09157554069930413,-0.0047969658821775535,-1.5391008479608524e-05
0.03,0.09022719249010008,-0.004755943700950657,-1.5978024176246334e-05
0.031,0.08906798366533632,-0.004698257835071773,-1.9706126523277075e-05
0.032,0.08815466984656818,-0.004525032198513718,-2.4285843606947945e-05
0.033,0.0874696412331438,-0.0043353485565066074,-3.0872456762669285e-05
0.034,0.08711344431061868,-0.00420126992490244,-3.601684838338507e-05
0.035,0.08712662788190621,-0.004102322267950445,-4.1565396924321454e-05
0.036,0.08731476882836645,-0.004025122241457707,-5.03501097344765e-05
0.037,0.08735590093896059,-0.0039303066486709864,-6.239134807881769e-05
0.038,0.08710232159644297,-0.0037520759250142394,-7.550782967337671e-05
0.039,0.08641169245406,-0.003599061665689088,-9.536427922733886e-05
0.04,0.08538615063907676,-0.0034897851244886785,-0.0001152914341518937
0.041,0.08407368960068962,-0.00338750849320571,-0.0001326614245543284
0.042,0.08281359566832014,-0.003237748264438803,-0.000146981574438121
0.043,0.08182363772456491,-0.003189077530280096,-0.00015868412802639404
0.044,0.08125930090942013,-0.0031061139303321106,-0.00016598825477709758
0.045,0.08114403611180987,-0.00301091243211897,-0.00017134343708290417
