,x,y,z
0,1.829,1.8351,0.00609667
1,1.829,1.84729,0.00609667
2,1.829,1.85948,0.00609667
3,1.829,1.87167,0.00609667
4,1.829,1.88386,0.00609667
5,1.829,1.8351,0.01829
6,1.829,1.84729,0.01829
7,1.829,1.85948,0.01829
8,1.829,1.87167,0.01829
9,1.829,1.88386,0.01829
10,1.829,1.8351,0.0304833
11,1.829,1.84729,0.0304833
12,1.829,1.85948,0.0304833
13,1.829,1.87167,0.0304833
14,1.829,1.88386,0.0304833
15,1.829,1.8351,0.0426767
16,1.829,1.84729,0.0426767
17,1.829,1.85948,0.0426767
18,1.829,1.87167,0.0426767
19,1.829,1.88386,0.0426767
20,1.829,1.8351,0.05487
21,1.829,1.84729,0.05487
22,1.829,1.85948,0.05487
23,1.829,1.87167,0.05487
24,1.829,1.88386,0.05487
25,1.829,1.8351,0.0670633
26,1.829,1.84729,0.0670633
27,1.829,1.85948,0.0670633
28,1.829,1.87167,0.0670633
29,1.829,1.88386,0.0670633
30,1.829,1.8351,0.0792567
31,1.829,1.84729,0.0792567
32,1.829,1.85948,0.0792567
33,1.829,1.87167,0.0792567
34,1.829,1.88386,0.0792567
35,1.829,1.8351,0.09145
36,1.829,1.84729,0.09145
37,1.829,1.85948,0.09145
38,1.829,1.87167,0.09145
39,1.829,1.88386,0.09145
40,1.829,1.8351,0.103643
41,1.829,1.84729,0.103643
42,1.829,1.85948,0.103643
43,1.829,1.87167,0.103643
44,1.829,1.88386,0.103643
45,1.829,1.8351,0.115837
46,1.829,1.84729,0.115837
47,1.829,1.85948,0.115837
48,1.829,1.87167,0.115837
49,1.829,1.88386,0.115837
50,1.829,1.8351,0.12803
51,1.829,1.84729,0.12803
52,1.829,1.85948,0.12803
53,1.829,1.87167,0.12803
54,1.829,1.88386,0.12803
55,1.829,1.8351,0.140223
56,1.829,1.84729,0.140223
57,1.829,1.85948,0.140223
58,1.829,1.87167,0.140223
59,1.829,1.88386,0.140223
60,1.829,1.8351,0.152417
61,1.829,1.84729,0.152417
62,1.829,1.85948,0.152417
63,1.829,1.87167,0.152417
64,1.829,1.88386,0.152417
65,1.829,1.8351,0.16461
66,1.829,1.84729,0.16461
67,1.829,1.85948,0.16461
68,1.829,1.87167,0.16461
69,1.829,1.88386,0.16461
70,1.829,1.8351,0.176803
71,1.829,1.84729,0.176803
72,1.829,1.85948,0.176803
73,1.829,1.87167,0.176803
74,1.829,1.88386,0.176803
75,1.829,1.8351,0.188997
76,1.829,1.84729,0.188997
77,1.829,1.85948,0.188997
78,1.829,1.87167,0.188997
79,1.829,1.88386,0.188997
80,1.829,1.8351,0.20119
81,1.829,1.84729,0.20119
82,1.829,1.85948,0.20119
83,1.829,1.87167,0.20119
84,1.829,1.88386,0.20119
85,1.829,1.8351,0.213383
86,1.829,1.84729,0.213383
87,1.829,1.85948,0.213383
88,1.829,1.87167,0.213383
89,1.829,1.88386,0.213383
90,1.829,1.8351,0.225577
91,1.829,1.84729,0.225577
92,1.829,1.85948,0.225577
93,1.829,1.87167,0.225577
94,1.829,1.88386,0.225577
95,1.829,1.8351,0.23777
96,1.829,1.84729,0.23777
97,1.829,1.85948,0.23777
98,1.829,1.87167,0.23777
99,1.829,1.88386,0.23777
100,1.829,1.8351,0.249963
101,1.829,1.84729,0.249963
102,1.829,1.85948,0.249963
103,1.829,1.87167,0.249963
104,1.829,1.88386,0.249963
105,1.829,1.8351,0.262157
106,1.829,1.84729,0.262157
107,1.829,1.85948,0.262157
108,1.829,1.87167,0.262157
109,1.829,1.88386,0.262157
110,1.829,1.8351,0.27435
111,1.829,1.84729,0.27435
112,1.829,1.85948,0.27435
113,1.829,1.87167,0.27435
114,1.829,1.88386,0.27435
115,1.829,1.8351,0.286543
116,1.829,1.84729,0.286543
117,1.829,1.85948,0.286543
118,1.829,1.87167,0.286543
119,1.829,1.88386,0.286543
120,1.829,1.8351,0.298737
121,1.829,1.84729,0.298737
122,1.829,1.85948,0.298737
123,1.829,1.87167,0.298737
124,1.829,1.88386,0.298737
125,1.829,1.8351,0.31093
126,1.829,1.84729,0.31093
127,1.829,1.85948,0.31093
128,1.829,1.87167,0.31093
129,1.829,1.88386,0.31093
130,1.829,1.8351,0.323123
131,1.829,1.84729,0.323123
132,1.829,1.85948,0.323123
133,1.829,1.87167,0.323123
134,1.829,1.88386,0.323123
135,1.829,1.8351,0.335317
136,1.829,1.84729,0.335317
137,1.829,1.85948,0.335317
138,1.829,1.87167,0.335317
139,1.829,1.88386,0.335317
140,1.829,1.8351,0.34751
141,1.829,1.84729,0.34751
142,1.829,1.85948,0.34751
143,1.829,1.87167,0.34751
144,1.829,1.88386,0.34751
145,1.829,1.8351,0.359703
146,1.829,1.84729,0.359703
147,1.829,1.85948,0.359703
148,1.829,1.87167,0.359703
149,1.829,1.88386,0.359703
150,1.8351,1.88996,0.00609667
151,1.8351,1.88996,0.01829
152,1.8351,1.88996,0.0304833
153,1.8351,1.88996,0.0426767
154,1.8351,1.88996,0.05487
155,1.8351,1.88996,0.0670633
156,1.8351,1.88996,0.0792567
157,1.8351,1.88996,0.09145
158,1.8351,1.88996,0.103643
159,1.8351,1.88996,0.115837
160,1.8351,1.88996,0.12803
161,1.8351,1.88996,0.140223
162,1.8351,1.88996,0.152417
163,1.8351,1.88996,0.16461
164,1.8351,1.88996,0.176803
165,1.8351,1.88996,0.188997
166,1.8351,1.88996,0.20119
167,1.8351,1.88996,0.213383
168,1.8351,1.88996,0.225577
169,1.8351,1.88996,0.23777
170,1.8351,1.88996,0.249963
171,1.8351,1.88996,0.262157
172,1.8351,1.88996,0.27435
173,1.8351,1.88996,0.286543
174,1.8351,1.88996,0.298737
175,1.8351,1.88996,0.31093
176,1.8351,1.88996,0.323123
177,1.8351,1.88996,0.335317
178,1.8351,1.88996,0.34751
179,1.8351,1.88996,0.359703
180,1.84729,1.88996,0.00609667
181,1.84729,1.88996,0.01829
182,1.84729,1.88996,0.0304833
183,1.84729,1.88996,0.0426767
184,1.84729,1.88996,0.05487
185,1.84729,1.88996,0.0670633
186,1.84729,1.88996,0.0792567
187,1.84729,1.88996,0.09145
188,1.84729,1.88996,0.103643
189,1.84729,1.88996,0.115837
190,1.84729,1.88996,0.12803
191,1.84729,1.88996,0.140223
192,1.84729,1.88996,0.152417
193,1.84729,1.88996,0.16461
194,1.84729,1.88996,0.176803
195,1.84729,1.88996,0.188997
196,1.84729,1.88996,0.20119
197,1.84729,1.88996,0.213383
198,1.84729,1.88996,0.225577
199,1.84729,1.88996,0.23777
200,1.84729,1.88996,0.249963
201,1.84729,1.88996,0.262157
202,1.84729,1.88996,0.27435
203,1.84729,1.88996,0.286543
204,1.84729,1.88996,0.298737
205,1.84729,1.88996,0.31093
206,1.84729,1.88996,0.323123
207,1.84729,1.88996,0.335317
208,1.84729,1.88996,0.34751
209,1.84729,1.88996,0.359703
210,1.85948,1.88996,0.00609667
211,1.85948,1.88996,0.01829
212,1.85948,1.88996,0.0304833
213,1.85948,1.88996,0.0426767
214,1.85948,1.88996,0.05487
215,1.85948,1.88996,0.0670633
216,1.85948,1.88996,0.0792567
217,1.85948,1.88996,0.09145
218,1.85948,1.88996,0.103643
219,1.85948,1.88996,0.115837
220,1.85948,1.88996,0.12803
221,1.85948,1.88996,0.140223
222,1.85948,1.88996,0.152417
223,1.85948,1.88996,0.16461
224,1.85948,1.88996,0.176803
225,1.85948,1.88996,0.188997
226,1.85948,1.88996,0.20119
227,1.85948,1.88996,0.213383
228,1.85948,1.88996,0.225577
229,1.85948,1.88996,0.23777
230,1.85948,1.88996,0.249963
231,1.85948,1.88996,0.262157
232,1.85948,1.88996,0.27435
233,1.85948,1.88996,0.286543
234,1.85948,1.88996,0.298737
235,1.85948,1.88996,0.31093
236,1.85948,1.88996,0.323123
237,1.85948,1.88996,0.335317
238,1.85948,1.88996,0.34751
239,1.85948,1.88996,0.359703
240,1.87167,1.88996,0.00609667
241,1.87167,1.88996,0.01829
242,1.87167,1.88996,0.0304833
243,1.87167,1.88996,0.0426767
244,1.87167,1.88996,0.05487
245,1.87167,1.88996,0.0670633
246,1.87167,1.88996,0.0792567
247,1.87167,1.88996,0.09145
248,1.87167,1.88996,0.103643
249,1.87167,1.88996,0.115837
250,1.87167,1.88996,0.12803
251,1.87167,1.88996,0.140223
252,1.87167,1.88996,0.152417
253,1.87167,1.88996,0.16461
254,1.87167,1.88996,0.176803
255,1.87167,1.88996,0.188997
256,1.87167,1.88996,0.20119
257,1.87167,1.88996,0.213383
258,1.87167,1.88996,0.225577
259,1.87167,1.88996,0.23777
260,1.87167,1.88996,0.249963
261,1.87167,1.88996,0.262157
262,1.87167,1.88996,0.27435
263,1.87167,1.88996,0.286543
264,1.87167,1.88996,0.298737
265,1.87167,1.88996,0.31093
266,1.87167,1.88996,0.323123
267,1.87167,1.88996,0.335317
268,1.87167,1.88996,0.34751
269,1.87167,1.88996,0.359703
270,1.88386,1.88996,0.00609667
271,1.88386,1.88996,0.01829
272,1.88386,1.88996,0.0304833
273,1.88386,1.88996,0.0426767
274,1.88386,1.88996,0.05487
275,1.88386,1.88996,0.0670633
276,1.88386,1.88996,0.0792567
277,1.88386,1.88996,0.09145
278,1.88386,1.88996,0.103643
279,1.88386,1.88996,0.115837
280,1.88386,1.88996,0.12803
281,1.88386,1.88996,0.140223
282,1.88386,1.88996,0.152417
283,1.88386,1.88996,0.16461
284,1.88386,1.88996,0.176803
285,1.88386,1.88996,0.188997
286,1.88386,1.88996,0.20119
287,1.88386,1.88996,0.213383
288,1.88386,1.88996,0.225577
289,1.88386,1.88996,0.23777
290,1.88386,1.88996,0.249963
291,1.88386,1.88996,0.262157
292,1.88386,1.88996,0.27435
293,1.88386,1.88996,0.286543
294,1.88386,1.88996,0.298737
295,1.88386,1.88996,0.31093
296,1.88386,1.88996,0.323123
297,1.88386,1.88996,0.335317
298,1.88386,1.88996,0.34751
299,1.88386,1.88996,0.359703
300,1.88996,1.8351,0.00609667
301,1.88996,1.84729,0.00609667
302,1.88996,1.85948,0.00609667
303,1.88996,1.87167,0.00609667
304,1.88996,1.88386,0.00609667
305,1.88996,1.8351,0.01829
306,1.88996,1.84729,0.01829
307,1.88996,1.85948,0.01829
308,1.88996,1.87167,0.01829
309,1.88996,1.88386,0.01829
310,1.88996,1.8351,0.0304833
311,1.88996,1.84729,0.0304833
312,1.88996,1.85948,0.0304833
313,1.88996,1.87167,0.0304833
314,1.88996,1.88386,0.0304833
315,1.88996,1.8351,0.0426767
316,1.88996,1.84729,0.0426767
317,1.88996,1.85948,0.0426767
318,1.88996,1.87167,0.0426767
319,1.88996,1.88386,0.0426767
320,1.88996,1.8351,0.05487
321,1.88996,1.84729,0.05487
322,1.88996,1.85948,0.05487
323,1.88996,1.87167,0.05487
324,1.88996,1.88386,0.05487
325,1.88996,1.8351,0.0670633
326,1.88996,1.84729,0.0670633
327,1.88996,1.85948,0.0670633
328,1.88996,1.87167,0.0670633
329,1.88996,1.88386,0.0670633
330,1.88996,1.8351,0.0792567
331,1.88996,1.84729,0.0792567
332,1.88996,1.85948,0.0792567
333,1.88996,1.87167,0.0792567
334,1.88996,1.88386,0.0792567
335,1.88996,1.8351,0.09145
336,1.88996,1.84729,0.09145
337,1.88996,1.85948,0.09145
338,1.88996,1.87167,0.09145
339,1.88996,1.88386,0.09145
340,1.88996,1.8351,0.103643
341,1.88996,1.84729,0.103643
342,1.88996,1.85948,0.103643
343,1.88996,1.87167,0.103643
